no,username,testId,topic,Favorite Class,School Improvement,Questions,School Routine,Project,ANIMALS,COMMUNICATIONS,DIRECTIONS,POP_CULTURE,THEATER,TRAVEL,CAREERS,SCIENCE,
3425,C2979366,2178300,COMMUNICATIONS,0.0008357288329100458,0.0024133163424795807,0.008312542063246523,0.007946887520552871,0.012056801780344465,0.010700161697520373,0.012760769834440064,0.0,0.015838068250736078,0.006061817700105437,0.0027320802702391197,0.0,0.0,
3426,C2979366,2178300,POP_CULTURE,0.0008357288329100458,0.0024133163424795807,0.008312542063246523,0.007946887520552871,0.012056801780344465,0.010700161697520373,0.012760769834440064,0.0,0.015838068250736078,0.006061817700105437,0.0027320802702391197,0.0,0.0,
3427,C2987553,2186102,POP_CULTURE,0.026957812887644286,0.03480615696451163,0.016687041104375237,0.013697388732885236,0.016233794049303998,0.012665001588912627,0.017145820183247784,0.006125196873265455,0.029569381265881167,0.02015409180977777,0.01825102068152278,0.006599035988122908,0.007858679904041823,
3428,C2987553,2186102,THEATER,0.019417092659752624,0.017610357741486383,0.013392969871583012,0.01129634471537437,0.019315188194022247,0.016485971228930456,0.014578101862136563,0.010578189914440126,0.020658283714678857,0.03439979934047159,0.028399929667550335,0.004557860151744718,0.009408707060820254,
3429,C2987553,2186102,TRAVEL,0.0,0.00045654014172016015,0.00025160458675451715,0.0,0.0,0.0,0.0,0.0,0.00042802475323440274,0.0,0.00423784480864323,0.0,0.0,
3430,C3003985,2201743,ANIMALS,0.1177908753321204,0.12744400848778534,0.08142247444963743,0.07628251836494185,0.09622450603837729,0.22280178265732808,0.13800733137242926,0.061675944890601304,0.1463039870936007,0.09806231279501355,0.0985378797622474,0.06792146420549909,0.08207157536848493,
3431,C3003985,2201743,COMMUNICATIONS,0.05017201944600959,0.07432198117006034,0.05429001058133457,0.03934922321275657,0.04834249496328661,0.060529267753040586,0.13795572837778325,0.040088560959284945,0.1041564568285194,0.0582220693232918,0.04870666993087123,0.035185902234477665,0.040540058771128845,
3432,C3003985,2201743,DIRECTIONS,0.09275526627069887,0.09449449646399041,0.1209341957081724,0.09584405500119945,0.1066664059855681,0.09393745774959583,0.11526293500556901,0.346519941239902,0.11040863145918516,0.13561452353141493,0.09844017842544847,0.050727569023614846,0.06419120505932294,
3433,C3005293,2203029,POP_CULTURE,0.061078046747295875,0.07740140277749817,0.035448938334907504,0.0545861626283084,0.039988993203221336,0.04092941949657063,0.07174971365694559,0.02974404270910267,0.11608010335205565,0.0751770132375366,0.05668744355012307,0.02376870176374505,0.0361048155306925,
3434,C3005293,2203029,THEATER,0.0008357288329100458,0.0024133163424795807,0.008312542063246523,0.007946887520552871,0.012056801780344465,0.010700161697520373,0.012760769834440064,0.0,0.015838068250736078,0.006061817700105437,0.0027320802702391197,0.0,0.0,
3435,C3005293,2203029,TRAVEL,0.044302271393147734,0.056398210454951345,0.031056385303139113,0.027554830933914035,0.04284922437784318,0.053603005552454897,0.05251319093370246,0.024233914599927322,0.059434169367866996,0.055032516484886426,0.14053086829141936,0.022504189029597818,0.027551098896692935,
3436,C3083718,2278074,POP_CULTURE,0.023320099886214442,0.037674355023738504,0.021459357010214276,0.011183352533926376,0.026231582466280403,0.045777033656412676,0.04390989770525207,0.014310820152966629,0.07190273549016615,0.02252051512700402,0.028792320608374673,0.020201500658165974,0.016020674625050815,
3437,C3083718,2278074,THEATER,0.05425380747343677,0.08552073975946159,0.040120753709404725,0.06915470053485513,0.04849692081318613,0.027701971840064014,0.05756213516294477,0.05324830967419881,0.07438042735727876,0.11584467359895675,0.04513508112254256,0.02230654954256123,0.03579739303496596,
3438,C3083718,2278074,TRAVEL,0.010456160614046472,0.018101337248977372,0.013927911654370722,0.007018069535982186,0.014520133896726989,0.02136552532415216,0.021783911258918626,0.011667047701624337,0.02368345332923886,0.01798873004661517,0.06539392683995557,0.010186892633835789,0.00944713876704056,
3439,C3096551,2290863,CAREERS,0.0608543746496411,0.08891314287526306,0.058202029120631986,0.02881323123793446,0.059831746891021,0.07814058021326412,0.06502856350660496,0.027178806631903155,0.06315630402970673,0.04029994473804441,0.05265358127349243,0.24206429031564208,0.028102745928960955,
3440,C3096551,2290863,DIRECTIONS,0.04951760860238722,0.07096408149229433,0.07423186921715816,0.051286429387623934,0.05417931246542336,0.056779995097741384,0.06799065460402531,0.10111377765229096,0.07170914882974491,0.06057876958948488,0.060461941712149886,0.029162419341625508,0.030407761366013007,
3441,C3096551,2290863,SCIENCE,0.14182437956225108,0.08268458600117005,0.05585152832762654,0.07405371329276106,0.09199113131431594,0.05308696437906906,0.10018332706344382,0.036524386081877525,0.08014944214676219,0.06897266705005807,0.05448047499359149,0.04407301971273936,0.2743146743968248,
3442,C3122659,2315809,COMMUNICATIONS,0.08141065809974174,0.10148578287263041,0.06469356366541368,0.049467778860316496,0.05104936592111987,0.06177113162868637,0.1677102379452022,0.054857252774124954,0.10229619608596774,0.08390887798408805,0.06718024524506691,0.0338924565895396,0.04774191251621096,
3443,C3122659,2315809,ANIMALS,0.07066612748767646,0.09104941850937948,0.06615560608169477,0.040542051246837615,0.06005373542592147,0.2396648673411249,0.07699436563289741,0.03624924943212807,0.08930821139189049,0.057888052308386284,0.0716912030163237,0.04351259034944941,0.035290248117283145,
3444,C3122659,2315809,POP_CULTURE,0.05518460295974363,0.09386611606771561,0.049404923372436224,0.030914364468733295,0.04681399101208167,0.06810761221326078,0.07903182564270295,0.038904293365186665,0.11518296742596469,0.06361789137719549,0.05484477698018423,0.027183484393114236,0.030067154688653848,
