no,username,testId,topic,Summer Break,Self Recommnedation,Social media,LANGUAGE ARTS,EDUCATION,ENVIRONMENT,POP_CULTURE,HEALTH
130,B2602043,1836361,Summer Break,0.2288735096,0.1261716619,0.1073936213,0.09027241519,0.09439955937,0.0858568483,0.07381860561,0.06791944568
131,B2602043,1836361,Self Recommnedation,0.1549108165,0.2238143101,0.1404157445,0.1136290203,0.1351427587,0.1228542169,0.08500687446,0.08040803319
132,B2602043,1836361,Social media,0.1077628256,0.1076218656,0.2571000572,0.1114728768,0.1256351284,0.1154309963,0.08694792896,0.08600944395
133,B2622364,1856237,Summer Break,0.002277061166,0.00482728577,0.005149876673,0.003805105417,0.006853753553,0.006577326551,0.009158411561,0.00239877905
134,B2622364,1856237,Self Recommnedation,0.002277061166,0.00482728577,0.005149876673,0.003805105417,0.006853753553,0.006577326551,0.009158411561,0.00239877905
135,B2622364,1856237,Social media,0.002277061166,0.00482728577,0.005149876673,0.003805105417,0.006853753553,0.006577326551,0.009158411561,0.00239877905
136,B2627926,1860582,Summer Break,0.1957037943,0.1118535327,0.09591933678,0.1000102324,0.08789681103,0.09262609863,0.0648588194,0.05432962765
137,B2627926,1860582,Self Recommnedation,0.09646376127,0.1873733425,0.08411005679,0.09115049291,0.07847648508,0.08477863675,0.05048494432,0.04544873963
138,B2627926,1860582,Social media,0.09707026827,0.1020966968,0.1448126848,0.09634612384,0.1056284079,0.1079539719,0.06406008213,0.0509252439
139,B2657731,1886432,Summer Break,0.1711829174,0.0885376841,0.08993010092,0.08805859654,0.07980126755,0.07739988734,0.07192965075,0.05421253734
140,B2657731,1886432,Self Recommnedation,0.1199319042,0.2257409772,0.1199088764,0.1153213928,0.1318269334,0.127224951,0.07572185005,0.06415597546
141,B2657731,1886432,Social media,0.09453029839,0.08944995382,0.206326551,0.09321931245,0.08857496693,0.1030736235,0.0599148988,0.05893279552
142,B2670073,1897459,Summer Break,0.1709356164,0.08552514498,0.07143644166,0.05344350289,0.05072271318,0.04629709701,0.0385871643,0.03649778515
143,B2670073,1897459,Self Recommnedation,0.002277061166,0.00482728577,0.005149876673,0.003805105417,0.006853753553,0.006577326551,0.009158411561,0.00239877905
144,B2670073,1897459,Social media,0.002277061166,0.00482728577,0.005149876673,0.003805105417,0.006853753553,0.006577326551,0.009158411561,0.00239877905
145,B2766111,1976798,Summer Break,0.116472059,0.06713190299,0.07115254084,0.06985485429,0.05835354226,0.05570458353,0.04259078758,0.03791074789
146,B2766111,1976798,Self Recommnedation,0.070381273,0.1350730722,0.05343422288,0.05045779298,0.05139254806,0.04517396486,0.02820992965,0.02911058811
147,B2766111,1976798,Social media,0.07119686289,0.05550982444,0.1193222456,0.06913885175,0.05387528107,0.05600095447,0.0445496834,0.03462314755
148,C2000712,1296995,Summer Break,0.1416976439,0.07534910672,0.08330527992,0.08633033492,0.06894875045,0.06324763993,0.05771988648,0.04266127578
149,C2000712,1296995,Self Recommnedation,0.1063345774,0.1896230173,0.08260019432,0.0851231665,0.08139824166,0.07587425971,0.05108699841,0.04566725516
150,C2000712,1296995,Social media,0.08064213228,0.07853262419,0.1211902007,0.09231137015,0.08898428085,0.08904242802,0.0608384885,0.04574008071
151,C2118005,1404954,Summer Break,0.2366131006,0.1445947409,0.1226315409,0.1195569353,0.110157338,0.1152177459,0.08235701461,0.08196305997
152,C2118005,1404954,Self Recommnedation,0.1552224743,0.2984254634,0.1492382695,0.131475185,0.1287787289,0.1190375815,0.07696588301,0.0791905561
153,C2118005,1404954,Social media,0.1397010145,0.1285749665,0.2042653692,0.1285387537,0.1464176987,0.155765702,0.0982294118,0.07729900133
154,C2119248,1406090,Summer Break,0.1903339192,0.1068861296,0.1039642472,0.08946352626,0.07890974005,0.08155661146,0.05893019126,0.06218118627
155,C2119248,1406090,Self Recommnedation,0.09211081938,0.1538441542,0.06858956286,0.05971853657,0.07108677105,0.0605580905,0.04110083031,0.03839020626
156,C2119248,1406090,Social media,0.1070420523,0.09207376089,0.1520611856,0.1130730537,0.0912897375,0.08232497601,0.07595600897,0.0552398153
157,C2119292,1406134,Summer Break,0.1511343072,0.07826053643,0.07694030305,0.07231889088,0.07265623113,0.0655540914,0.04863435306,0.04312453214
158,C2119292,1406134,Self Recommnedation,0.07265307595,0.1291491214,0.06321643621,0.05365918367,0.05516161381,0.0425507826,0.03489551991,0.02702218724
159,C2119292,1406134,Social media,0.08524624485,0.09442948622,0.136474421,0.08494412039,0.08638177851,0.07906014263,0.06514103611,0.05106668193
160,C2122358,1409223,Summer Break,0.1840290556,0.1158928813,0.1146252824,0.110655005,0.1156143202,0.1064335541,0.07970549348,0.07298744393
161,C2122358,1409223,Self Recommnedation,0.1442530383,0.2460575292,0.1220879247,0.1271727439,0.1232980702,0.1209060367,0.076412821,0.06896061148
162,C2122358,1409223,Social media,0.1077300072,0.100407742,0.2437718351,0.1124922426,0.1277045922,0.1170547539,0.08587170149,0.07005945606
163,C2151713,1437508,Summer Break,0.1469467817,0.08913692469,0.09333503049,0.1024030239,0.08831922307,0.08360710972,0.08241461253,0.05435383012
164,C2151713,1437508,Self Recommnedation,0.1278143829,0.2266670492,0.1154635606,0.1010243977,0.1056404329,0.09338543805,0.06303969729,0.06203619917
165,C2151713,1437508,Social media,0.08124424617,0.07473112537,0.108319744,0.07914754852,0.07137245065,0.06376568046,0.05911042856,0.05254207905
166,C2163852,1449301,Summer Break,0.1442753449,0.08088948587,0.08856354855,0.07785794624,0.06943793028,0.06755784595,0.06035582819,0.04497014144
167,C2163852,1449301,Self Recommnedation,0.1216047114,0.1572463479,0.09178439125,0.07335694167,0.07653389483,0.068339265,0.04785454128,0.04401839921
168,C2163852,1449301,Social media,0.09989293403,0.062825304,0.135631957,0.0696546884,0.06125044594,0.06029649013,0.0442275074,0.03399985803
