no,testId,topic,distIMF,distIMM,distISE,distINE,maxSim,predicted,expected,distIMF-pos,distIMM-pos,distISE-pos,distINE-pos
953,2393022,COMMUNICATIONS,0.17407437,0.12460652,0.09924838,0.0172,0.17407437,I-MF,I-MF,0.72321005,0.6953341,0.66647486,0.25179612
954,2393022,ANIMALS,0.16604066,0.10681158,0.07275789,0.01093442,0.16604066,I-MF,I-MF,0.66745974,0.64281657,0.61851637,0.24823152
955,2409639,ANIMALS,0.0606171,0.0765793,0.1067347,0.01426437,0.1067347,I-SE,I-SE,0.24365715,0.2658899,0.28296885,0.14811198
956,2409639,COMMUNICATIONS,0.07623614,0.10272805,0.06703373,0.01547244,0.10272805,I-MM,I-MM,0.36591885,0.369991,0.36285541,0.17890994
957,2409639,POP_CULTURE,0.03181391,0.03690109,0.05408542,0.01135272,0.05408542,I-SE,I-SE,0.31459875,0.31602582,0.31645949,0.15173663
958,2410455,POP_CULTURE,0.09505196,0.10019014,0.14299922,0.02319629,0.14299922,I-SE,I-SE,0.49304494,0.48905964,0.48978223,0.22197237
959,2410455,THEATER,0.08732672,0.104481,0.12928663,0.02297532,0.12928663,I-SE,I-SE,0.28019452,0.29821901,0.31642672,0.23663356
960,2410455,TRAVEL,0.06299282,0.06505614,0.05606785,0.0898589,0.0898589,I-NE,I-NE,0.41822602,0.44027321,0.44957966,0.29328533
961,2412950,ANIMALS,0.04196923,0.04381533,0.06144165,0.01188574,0.06144165,I-SE,I-SE,0.19681856,0.20406204,0.21325987,0.10592957
962,2412950,COMMUNICATIONS,0.05283011,0.0563377,0.09362431,0.03695768,0.09362431,I-SE,I-SE,0.24453937,0.24748513,0.26317419,0.11571438
963,2412950,POP_CULTURE,0.07205529,0.07352364,0.08828136,0.01683139,0.08828136,I-SE,I-SE,0.26758106,0.26035174,0.25539001,0.10510237
964,2413068,POP_CULTURE,0.12515488,0.09728665,0.0787638,0.02032879,0.12515488,I-MF,I-MF,0.5332927,0.52461393,0.50133187,0.32375921
965,2413068,THEATER,0.12055255,0.09270661,0.07413637,0.0088201,0.12055255,I-MF,I-MF,0.58866854,0.56249757,0.52818351,0.20301517
966,2413068,TRAVEL,0.12941444,0.08868911,0.06530927,0.00909897,0.12941444,I-MF,I-MF,0.5332696,0.50489071,0.48233665,0.22075481
967,2413800,ANIMALS,0.04212899,0.05489907,0.08045236,0.02104755,0.08045236,I-SE,I-SE,0.29719096,0.30813287,0.31657614,0.16430827
968,2413800,COMMUNICATIONS,0.14000334,0.10900553,0.0876632,0.03987322,0.14000334,I-MF,I-NE,0.14729144,0.13853072,0.13621745,0.04825032
969,2413800,POP_CULTURE,0.02718493,0.02330053,0.04601142,0.00136184,0.04601142,I-SE,I-SE,0.34756928,0.35341199,0.37750003,0.14571714
970,2414322,ANIMALS,0.14085503,0.09559182,0.06581843,0.01011586,0.14085503,I-MF,I-MF,0.63574732,0.62408982,0.60817103,0.3102103
971,2414322,COMMUNICATIONS,0.08474484,0.06273735,0.05255814,0.00731453,0.08474484,I-MF,I-MF,0.39222568,0.37674906,0.36831389,0.15796575
972,2414322,DIRECTIONS,0.09627175,0.07019507,0.05980083,0.00688985,0.09627175,I-MF,I-MF,0.64523981,0.62863623,0.60152016,0.24432835
973,2426792,ANIMALS,0.04738909,0.05062468,0.03438176,0.01454237,0.05062468,I-MM,I-MM,0.29905113,0.2775001,0.25139795,0.08890112
974,2426792,POP_CULTURE,0.04323633,0.03851191,0.05274721,0.01049481,0.05274721,I-SE,I-SE,0.19840761,0.19177369,0.18035692,0.06538649
975,2426792,COMMUNICATIONS,0.0392768,0.05011987,0.02420994,0.0040649,0.05011987,I-MM,I-MM,0.31681451,0.31597339,0.30568572,0.11953457
976,1907446,POP_CULTURE,0.18301466,0.14696828,0.11806818,0.02738717,0.18301466,I-MF,I-MF,0.69787162,0.68566524,0.67489772,0.33128478
977,1907446,THEATER,0.13141009,0.10269177,0.08905392,0.02235156,0.13141009,I-MF,I-MF,0.7018109,0.69289413,0.67977703,0.34183125
978,1907446,TRAVEL,0.17417982,0.14960932,0.12710889,0.02696425,0.17417982,I-MF,I-MF,0.68311153,0.65188214,0.62966052,0.23729087
979,2035080,POP_CULTURE,0.09816123,0.11435898,0.07757343,0.01432969,0.11435898,I-MM,I-MM,0.53936965,0.55493459,0.54584234,0.27432745
980,2035080,THEATER,0.09607909,0.11210591,0.08109155,0.02253053,0.11210591,I-MM,I-MM,0.49170216,0.49221357,0.48390723,0.22388894
981,2035080,TRAVEL,0.10502908,0.09989365,0.14881042,0.05051164,0.14881042,I-SE,I-SE,0.56513339,0.5664986,0.56909208,0.26011388
