no,username,testId,topic,About Me,Things To Do,Best Friend,Wishlist,School Supplies,CITY_TOWN,WEATHER,FAMILY,CELEBRATIONS,
2396,V3078678,2273052,CITY_TOWN,0.03936847739527616,0.027046076995222528,0.026592612409503738,0.022928650522571047,0.021380775509759926,0.08927953443150075,0.045408390944765294,0.03550254708940316,0.035814823648948085,
2397,V3078678,2273052,CELEBRATIONS,0.04818446691073416,0.0255977280202011,0.043780239367639785,0.016181114382878843,0.025007636913433114,0.06197272340914601,0.06413223010748435,0.04808833370058114,0.10549548225990929,
2398,V3078678,2273052,WEATHER,0.04992979179502825,0.027730758416159455,0.02282437325915687,0.0270829991544358,0.01876394243912546,0.04269868975252452,0.06818046831416863,0.026390644537300514,0.03410278076948726,
2399,V3087213,2281568,CITY_TOWN,0.0008845417427304136,0.0,0.0,0.0,0.0018066013692200926,0.009886028962887464,0.0013968245588140242,0.0,0.0023040377445722395,
2400,V3087213,2281568,FAMILY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028889060510284225,0.0,
2401,V3087213,2281568,WEATHER,0.06438593238749356,0.0388843552432562,0.05549456556628939,0.02030055628835188,0.017040948617546813,0.061067465677149824,0.12836444865312396,0.07110150857382039,0.08453661817920655,
2402,V3095499,2289809,WEATHER,0.08460329194709124,0.052602627219431104,0.05834210355003,0.02207783764260854,0.01630953553197633,0.07224276199058817,0.13953432158474488,0.08639272705509139,0.10992328866718591,
2403,V3095499,2289809,CITY_TOWN,0.05351512610871454,0.034799604497484884,0.045258522994679834,0.028162494780376066,0.0277104361321373,0.13726362750317672,0.05641750246852949,0.06581455097940836,0.06399743701682457,
2404,V3095499,2289809,FAMILY,0.16107917926363097,0.07299804718415144,0.08455163849691284,0.09718923771746545,0.06683538807485573,0.1302819168423786,0.10313231894852942,0.27544130280623313,0.11892239669650209,
2405,V3098205,2292515,CELEBRATIONS,0.04972481505015545,0.03254913573656895,0.04606780030992261,0.018607743461839264,0.014655082919941699,0.06132503931579661,0.057970450387430705,0.06595574379771417,0.12893959349397485,
2406,V3098205,2292515,CITY_TOWN,0.06628468576206772,0.035000767811637176,0.061805909929107984,0.0193566311328058,0.03656844300855107,0.14115793912761765,0.07987785411471612,0.06884888733006087,0.06087232826219141,
2407,V3098205,2292515,WEATHER,0.06668546080503053,0.06716327773738201,0.04227877439658151,0.03143976355146383,0.02853938698225265,0.08056094922093207,0.09520705974904264,0.045201678251960406,0.06294259847946218,
2408,V3119615,2312945,CELEBRATIONS,0.07031540109483436,0.029711675453234065,0.04448645175534306,0.02020723585019136,0.013354424797933445,0.05317713569209423,0.060287095260892064,0.07739710844356601,0.13788470966619035,
2409,V3119615,2312945,CITY_TOWN,0.04746946228346274,0.017331533152889284,0.027641065567291893,0.019436009073716377,0.018632607306912775,0.07041552776015349,0.029539921317043808,0.03767890344447988,0.027124969042955582,
2410,V3119615,2312945,WEATHER,0.07726352348050461,0.06621449346771158,0.041832571930172854,0.032899664010685975,0.019531591256788605,0.0684318166376303,0.10743891803386166,0.061313365928930344,0.08003729459934782,
2411,V3122759,2315909,CITY_TOWN,0.025230651892480097,0.027800126201384244,0.016086438462680177,0.01425534834318581,0.01830755132777402,0.08383510792418558,0.0592385903204004,0.03210760927791815,0.028166249406587556,
2412,V3122759,2315909,FAMILY,0.110455208655237,0.04547857842986351,0.04456295162513887,0.037780746552693915,0.029998297476824164,0.060817775175407915,0.05121309271380654,0.22603068059465317,0.08717427168949496,
2413,V3122759,2315909,WEATHER,0.1306806627589415,0.13457923591719823,0.07809354413092251,0.04218623316005142,0.02004872502722418,0.10683615597954205,0.19407896359337493,0.12132681264643493,0.12687554680636046,
2414,V3146653,2337574,WEATHER,0.04700607036626983,0.029354278054604287,0.05798117461976552,0.02456480528319587,0.026599639570611726,0.07303702883921627,0.09480943997511682,0.04989515311600143,0.06078224204423659,
2415,V3146653,2337574,CITY_TOWN,0.027835995496031395,0.012267476260479755,0.015520253288812381,0.01368240640800773,0.015375353477513953,0.04721766003857619,0.044384559808959126,0.012559496103918943,0.03757950749794544,
2416,V3146653,2337574,CELEBRATIONS,0.05415968715820023,0.01951556322541989,0.06231822237010493,0.02034793508174207,0.01725584043738092,0.0511935374590403,0.06130012340206731,0.057337974334398426,0.14002257884115832,
2417,V3178131,2366793,FAMILY,0.16588312225248134,0.052641577199260936,0.0739549045301595,0.042248265634568544,0.032037843614864205,0.08228174566349139,0.07954497874554134,0.2169736621411547,0.07928963982215255,
2418,V3178131,2366793,WEATHER,0.04438312617934684,0.027122847652452726,0.017890013258669284,0.04545235998710528,0.03263472028382479,0.046495595205411105,0.08168865805675989,0.021528133698138253,0.03566877330429201,
2419,V3178131,2366793,CITY_TOWN,0.04842958688632306,0.033212038576512184,0.014904992678810364,0.02177683960124212,0.01650234773983706,0.06183978934475654,0.06061366510413656,0.029518798836246515,0.029746575304628306,
2420,V3182460,2370687,CITY_TOWN,0.024001512892762162,0.022561504775203814,0.018143931948309554,0.01308634355546175,0.014436600315176325,0.09211768925124107,0.03613167973804827,0.025714666465797637,0.03169694723215445,
